,customer,redeem,"2015-02-02 13:34:30","{""error"":""Sorry offer limit already exceeded""}"
,customer,redeem,"2015-02-02 13:34:47","{""error"":""Sorry offer limit already exceeded""}"
,customer,redeem,"2015-02-02 13:35:01","{""error"":""Sorry offer limit already exceeded""}"
,customer,redeem,"2015-02-02 13:37:59","{""error"":""Sorry offer limit already exceeded""}"
,customer,redeem,"2015-02-02 13:45:22","{""error"":""Sorry offer limit already exceeded""}"
,customer,redeem,"2015-02-02 13:45:30","{""error"":""Sorry offer limit already exceeded""}"
,customer,redeem,"2015-02-02 13:46:42","{""error"":""Sorry offer limit already exceeded""}"
,customer,redeem,"2015-02-03 16:27:37","{""error"":""Insuffcent data""}"
,customer,offer,"2015-02-04 13:56:17","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 13:57:40","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 13:59:08","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 13:59:19","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 15:04:36","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 15:05:25","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,redeem,"2015-02-04 15:37:46","{""error"":""Insuffcent data""}"
,customer,offer,"2015-02-04 16:21:03","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 16:21:09","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 16:21:21","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,offer,"2015-02-04 16:25:38","{""info"":{""offer_details"":{""reddemed_count"":""0"",""customer_redemed_count"":""0""},""offer_status"":""Not Avaible""}}"
,customer,redeem,"2015-02-05 15:23:13","{""error"":""Insuffcent data""}"
