2,Merchant,Login,2015-02-23,10:10:25
2,Merchant,Login,2015-02-23,10:01:29
9,Customer,Login,2015-02-23,10:54:31
9,Customer,Login,2015-02-23,10:11:36
9,Customer,Login,2015-02-23,10:30:37
2,Merchant,Login,2015-02-23,10:27:39
9,Customer,Login,2015-02-23,10:28:40
9,Customer,Login,2015-02-23,10:06:46
2,Merchant,Login,2015-02-23,10:44:46
2,Merchant,Login,2015-02-23,10:00:51
2,Merchant,Login,2015-02-23,10:49:55
2,Merchant,Login,2015-02-23,12:36:30
2,Merchant,Login,2015-02-23,12:50:30
2,Merchant,Logout,2015-02-23,12:55:30
9,Customer,Login,2015-02-23,12:58:31
9,Customer,Login,2015-02-23,12:59:32
2,Merchant,Login,2015-02-23,12:46:36
2,Merchant,Login,2015-02-23,12:01:38
2,Merchant,Login,2015-02-23,12:37:57
9,Customer,Login,2015-02-23,13:28:15
9,Customer,Login,2015-02-23,13:52:16
9,Customer,Login,2015-02-23,13:42:18
9,Customer,Login,2015-02-23,13:28:26
9,Customer,Login,2015-02-23,13:14:27
9,Customer,Login,2015-02-23,13:03:29
9,Customer,Login,2015-02-23,13:36:33
9,Customer,Login,2015-02-23,13:51:34
9,Customer,Login,2015-02-23,13:15:36
9,Customer,Login,2015-02-23,13:55:36
9,Customer,Login,2015-02-23,13:36:37
9,Customer,Login,2015-02-23,13:12:38
9,Customer,Login,2015-02-23,13:39:39
9,Customer,Login,2015-02-23,13:14:40
9,Customer,Login,2015-02-23,13:07:43
2,Merchant,Login,2015-02-23,13:04:47
2,Merchant,Logout,2015-02-23,13:31:47
8,Customer,Login,2015-02-23,13:16:56
8,Customer,Logout,2015-02-23,14:12:11
29,Customer,Login,2015-02-23,14:12:13
29,Customer,Login,2015-02-23,14:08:45
12,Customer,Login,2015-02-23,14:27:52
9,Customer,Login,2015-02-23,14:41:54
2,Merchant,Login,2015-02-23,14:14:56
9,Customer,Logout,2015-02-23,15:54:01
15,Merchant,Login,2015-02-23,15:17:02
15,Merchant,Logout,2015-02-23,15:44:07
9,Customer,Login,2015-02-23,15:36:08
9,Customer,Login,2015-02-23,15:12:28
9,Customer,Login,2015-02-23,15:57:29
9,Customer,Login,2015-02-23,15:54:31
2,Merchant,Login,2015-02-23,15:41:44
2,Merchant,Logout,2015-02-23,15:48:45
15,Merchant,Login,2015-02-23,15:15:46
15,Merchant,Logout,2015-02-23,15:38:46
15,Merchant,Login,2015-02-23,15:13:47
15,Merchant,Logout,2015-02-23,15:21:49
9,Customer,Login,2015-02-23,15:45:49
