11,Customer,Login,2016-03-15,07:02:34,1.2.6
163,Merchant,Login,2016-03-15,07:49:51,1.2.6
163,Merchant,Login,2016-03-15,07:10:52,1.2.6
164,Merchant,Login,2016-03-15,12:28:04,1.2.6
164,Merchant,Login,2016-03-15,12:27:49,1.2.6
164,Merchant,Login,2016-03-15,13:00:21,1.2.6
165,Merchant,Login,2016-03-15,13:32:31,1.2.6
162,Customer,Login,2016-03-15,13:04:37,1.2.6
162,Customer,Login,2016-03-15,13:45:42,1.2.6
162,Customer,Login,2016-03-15,14:21:19,1.2.6
162,Customer,Login,2016-03-15,14:58:38,1.2.6
6,Customer,Login,2016-03-15,14:18:41,1.2.6
162,Customer,Login,2016-03-15,14:14:42,1.2.6
161,Customer,Login,2016-03-15,16:18:03,1.2.6
161,Customer,Login,2016-03-15,16:57:06,1.2.6
161,Customer,Login,2016-03-15,16:03:10,1.2.6
20,Customer,Login,2016-03-15,16:17:41,1.2.6
166,Merchant,Login,2016-03-15,16:05:50,1.2.6
166,Merchant,Login,2016-03-15,16:22:54,1.2.6
6,Customer,Login,2016-03-15,17:10:46,1.2.7
6,Customer,Login,2016-03-15,17:02:49,1.2.7
6,Customer,Login,2016-03-15,17:59:50,1.2.7
6,Customer,Login,2016-03-15,17:56:57,1.2.7
11,Customer,Login,2016-03-15,18:39:01,1.2.7
6,Customer,Login,2016-03-15,18:02:10,1.2.7
6,Customer,Login,2016-03-15,18:15:22,1.2.7
6,Customer,Login,2016-03-15,18:11:26,1.2.7
6,Customer,Login,2016-03-15,18:19:48,1.2.7
6,Customer,Login,2016-03-15,18:55:50,1.2.7
6,Customer,Login,2016-03-15,18:41:58,1.2.7
11,Customer,Login,2016-03-15,19:54:19,1.2.8
168,Merchant,Login,2016-03-15,19:22:23,1.2.8
11,Customer,Login,2016-03-15,19:03:29,1.2.8
11,Customer,Login,2016-03-15,19:43:33,1.2.8
168,Merchant,Login,2016-03-15,19:07:35,1.2.8
11,Customer,Login,2016-03-15,19:30:35,1.2.8
6,Customer,Login,2016-03-15,19:52:51,1.2.8
