143,Customer,Login,2015-12-22,10:29:12,1.1.0
143,Customer,Login,2015-12-22,11:58:29,1.1.0
143,Customer,Login,2015-12-22,11:05:36,1.1.0
143,Customer,Login,2015-12-22,11:24:44,1.1.0
143,Customer,Login,2015-12-22,12:30:03,1.1.0
143,Customer,Login,2015-12-22,12:10:07,1.1.0
143,Customer,Login,2015-12-22,12:50:10,1.1.0
143,Customer,Login,2015-12-22,12:36:20,1.1.0
143,Customer,Login,2015-12-22,12:55:38,1.1.0
6,Customer,Login,2015-12-22,14:20:51,1.1.0
20,Customer,Login,2015-12-22,14:12:55,1.1.0
20,Customer,Login,2015-12-22,16:32:41,1.1.0
20,Customer,Login,2015-12-22,16:32:46,1.1.0
20,Customer,Login,2015-12-22,16:16:56,1.1.0
20,Customer,Login,2015-12-22,17:00:04,1.1.0
20,Customer,Login,2015-12-22,17:13:10,1.1.0
20,Customer,Login,2015-12-22,17:00:16,1.1.0
20,Customer,Login,2015-12-22,17:24:39,1.1.0
143,Customer,Login,2015-12-22,18:31:00,1.1.0
143,Customer,Login,2015-12-22,18:30:04,1.1.0
143,Customer,Login,2015-12-22,18:48:07,1.1.0
143,Customer,Login,2015-12-22,18:20:10,1.1.0
143,Customer,Login,2015-12-22,18:13:33,1.1.0
143,Customer,Login,2015-12-22,19:03:28,1.1.0
143,Customer,Login,2015-12-22,19:19:34,1.1.0
143,Customer,Login,2015-12-22,19:26:37,1.1.0
143,Customer,Login,2015-12-22,19:44:42,1.1.0
143,Customer,Login,2015-12-22,19:24:45,1.1.0
143,Customer,Login,2015-12-22,19:29:47,1.1.0
