36,customer,deletesavedoffer,"2015-01-14 
03:38:57","{""error"":""There is no offer saved""}"
36,customer,deletesavedoffer,"2015-01-14 
03:41:56","{""error"":""There is no offer saved""}"
36,customer,deletesavedoffer,"2015-01-14 
03:51:00","{""info"":""Saved Offer Deleted sucessfully ""}"
36,customer,deletesavedoffer,"2015-01-14 
03:51:05","{""info"":""Saved Offer Deleted sucessfully ""}"
36,customer,deletesavedoffer,"2015-01-14 
03:51:07","{""info"":""Saved Offer Deleted sucessfully ""}"
36,customer,deletesavedoffer,"2015-01-14 
03:51:10","{""info"":""Saved Offer Deleted sucessfully ""}"
36,customer,deletesavedoffer,"2015-01-14 
03:51:12","{""info"":""Saved Offer Deleted sucessfully ""}"
36,customer,deletesavedoffer,"2015-01-14 
03:51:14","{""info"":""Saved Offer Deleted sucessfully ""}"
36,customer,deletesavedoffer,"2015-01-14 
03:51:19","{""info"":""Saved Offer Deleted sucessfully ""}"
36,customer,deletesavedoffer,"2015-01-14 
03:56:57","{""error"":""There is no offer saved""}"
36,customer,deletesavedoffer,"2015-01-14 
03:57:10","{""error"":""There is no offer saved""}"
