59,Customer,Login,2015-03-13,13:11:11
63,Customer,Login,2015-03-13,13:00:19
59,Customer,Login,2015-03-13,13:51:43
63,Customer,Login,2015-03-13,14:10:20
63,Customer,Logout,2015-03-13,14:26:27
6,Customer,Login,2015-03-13,14:42:27
6,Customer,Login,2015-03-13,14:53:27
17,Customer,Login,2015-03-13,14:50:31
17,Customer,Logout,2015-03-13,14:25:32
18,Merchant,Login,2015-03-13,14:16:33
59,Customer,Login,2015-03-13,17:52:00
59,Customer,Login,2015-03-13,17:34:25
59,Customer,Login,2015-03-13,17:21:30
59,Customer,Login,2015-03-13,17:22:50
42,Merchant,Login,2015-03-13,17:43:56
42,Merchant,Logout,2015-03-13,17:04:58
